method,split,coverage,Accuracy_mean,Accuracy_std,Balanced Accuracy_mean,Balanced Accuracy_std,MCC_mean,MCC_std,F1_macro_mean,F1_macro_std,F1_weighted_mean,F1_weighted_std,kept_rows_mean,kept_rows_std,retained_trees_mean,retained_trees_std,synthetic_rows_mean,synthetic_rows_std,train_time_mean,train_time_std
drf_de_margin,extrapolation,0.4,0.6937645687645687,0.14058001973569995,0.2497453177819259,0.0252627301368633,0.5311412014579386,0.12410334722612272,0.21013821433436253,0.018886651755874142,0.704951860790672,0.10387557587991832,12480.0,0.0,50.81818181818182,23.79839566785199,13720.0,0.0,32.64123968644576,2.50809673107351
drf_de_margin,extrapolation,0.5,0.6703554778554778,0.13684695907034886,0.24245890222969893,0.022132239434193825,0.5043418281494615,0.12035891899582474,0.20506776827413892,0.020784211918887328,0.6808294473007076,0.09996544827583986,15600.0,0.0,50.81818181818182,23.79839566785199,13720.0,0.0,32.64123968644576,2.50809673107351
drf_de_margin,interpolation,0.01,0.6261363636363636,0.31851484195474244,0.36846249318896956,0.17728330059553996,0.5094625273177853,0.2477583878042824,0.29696965253770424,0.15531803146916098,0.6210187624280153,0.3174079935016336,80.0,0.0,50.81818181818182,23.79839566785199,13720.0,0.0,32.64123968644576,2.50809673107351
drf_de_margin,interpolation,0.02,0.7369318181818181,0.20339798090532668,0.37499582966414285,0.07609599011639827,0.5961459256077564,0.14877172259370197,0.3189005972376683,0.09673874327531157,0.722632998533358,0.20961670339777802,160.0,0.0,50.81818181818182,23.79839566785199,13720.0,0.0,32.64123968644576,2.50809673107351
drf_de_margin,interpolation,0.03,0.7863636363636364,0.1506247511419211,0.39932029279670095,0.09167407241123535,0.6348505128327814,0.12749671812595764,0.3422337812494767,0.10513753042378594,0.770210772830951,0.15811695958972255,240.0,0.0,50.81818181818182,23.79839566785199,13720.0,0.0,32.64123968644576,2.50809673107351
drf_de_margin,interpolation,0.05,0.8243181818181818,0.13268897330360066,0.4606991739272504,0.0851731037858672,0.6710388240014852,0.14294284052867892,0.3818779645501688,0.10459982677854028,0.8165439999832741,0.12962366730443134,400.0,0.0,50.81818181818182,23.79839566785199,13720.0,0.0,32.64123968644576,2.50809673107351
drf_de_margin,interpolation,0.08,0.8321022727272727,0.11653644907524932,0.4751618943596259,0.07763974236734314,0.6915534253889719,0.11703045699201058,0.40972224729427925,0.10448080033652053,0.8300289655523141,0.10398498535426189,640.0,0.0,50.81818181818182,23.79839566785199,13720.0,0.0,32.64123968644576,2.50809673107351
drf_de_margin,interpolation,0.1,0.8331818181818182,0.11367904880127923,0.47578182958161447,0.08524163393860372,0.6959736156124092,0.11325369717233538,0.4076353365890438,0.11251743841900216,0.8305110070129028,0.1000642313114778,800.0,0.0,50.81818181818182,23.79839566785199,13720.0,0.0,32.64123968644576,2.50809673107351
drf_de_margin,interpolation,0.2,0.7888068181818183,0.10819522811272053,0.43719985499273234,0.08030365769466405,0.6306649055042318,0.1131789411784531,0.36031585318299225,0.09435970520742477,0.7944258291523436,0.08755074608376427,1600.0,0.0,50.81818181818182,23.79839566785199,13720.0,0.0,32.64123968644576,2.50809673107351
drf_de_margin,interpolation,0.3,0.7464772727272727,0.10815070562073384,0.41377153389078986,0.06915294730887543,0.5763872104826331,0.11622906826066141,0.3446125289358077,0.07224517652052168,0.7602106584420709,0.08383172595553477,2400.0,0.0,50.81818181818182,23.79839566785199,13720.0,0.0,32.64123968644576,2.50809673107351
drf_de_margin,interpolation,0.4,0.7111931818181818,0.10560251408045947,0.4018394373716998,0.06733672767183048,0.5276888844354414,0.11464661512077944,0.3254765384589681,0.0525186146174092,0.7293620542337798,0.08190215285342932,3200.0,0.0,50.81818181818182,23.79839566785199,13720.0,0.0,32.64123968644576,2.50809673107351
drf_de_margin,interpolation,0.5,0.6738863636363637,0.1000878591311381,0.38547134226589086,0.079135596383312,0.47876808245888225,0.10084199655152011,0.3093078545993122,0.046093052392048146,0.6981091136539028,0.07554412859755445,4000.0,0.0,50.81818181818182,23.79839566785199,13720.0,0.0,32.64123968644576,2.50809673107351
