Accuracy,Balanced Accuracy,MCC,F1_macro,F1_weighted,seed,split,method,coverage,kept_rows,selected_features,synthetic_rows,retained_trees,mean_tree_purity,inner_score,train_time,n_estimators,max_depth,min_samples_leaf,max_features,purity_threshold
0.4733974358974359,0.2409734872151906,0.32912199815725485,0.1619875307169824,0.5736749290778229,3,extrapolation,drf_de_margin,0.1,3120,18,13720,23,0.37090265804640926,0.3291601687635645,32.21205925941467,68,6,3,0.644462590522503,0.5946920319684057
0.5222756410256411,0.26291798310679027,0.35994327019493894,0.20986658514648113,0.6198220816925775,3,extrapolation,drf_de_margin,0.2,6240,18,13720,23,0.37090265804640926,0.3291601687635645,32.21205925941467,68,6,3,0.644462590522503,0.5946920319684057
0.5386752136752136,0.3067389422722307,0.38553720536882663,0.21253790538938053,0.620951834733975,3,extrapolation,drf_de_margin,0.3,9360,18,13720,23,0.37090265804640926,0.3291601687635645,32.21205925941467,68,6,3,0.644462590522503,0.5946920319684057
0.5128205128205128,0.2718762217470705,0.34341978378887983,0.19542175305828566,0.5832980943408124,3,extrapolation,drf_de_margin,0.4,12480,18,13720,23,0.37090265804640926,0.3291601687635645,32.21205925941467,68,6,3,0.644462590522503,0.5946920319684057
0.4966025641025641,0.24924295275367642,0.3423900292583355,0.19433413241578942,0.5629343450869597,3,extrapolation,drf_de_margin,0.5,15600,18,13720,23,0.37090265804640926,0.3291601687635645,32.21205925941467,68,6,3,0.644462590522503,0.5946920319684057
0.44576923076923075,0.20826113168137605,0.278698245813702,0.16372308654994053,0.49454642853623315,3,extrapolation,drf_de_full,1.0,31200,18,13720,23,0.37090265804640926,0.3291601687635645,32.21205925941467,68,6,3,0.644462590522503,0.5946920319684057
0.625,0.46339285714285716,0.521560134521764,0.35979814970563495,0.60811606391926,4,interpolation,drf_de_margin,0.01,80,18,13720,65,0.5748689508752852,0.3242703880959669,31.020021438598633,65,10,3,0.4717664023172599,0.38464380515999774
0.7625,0.388045738045738,0.6599811790056814,0.31156667671590793,0.7335227615315044,4,interpolation,drf_de_margin,0.02,160,18,13720,65,0.5748689508752852,0.3242703880959669,31.020021438598633,65,10,3,0.4717664023172599,0.38464380515999774
0.7958333333333333,0.5202229654403567,0.6961666969260234,0.4103122697126014,0.7726663442643085,4,interpolation,drf_de_margin,0.03,240,18,13720,65,0.5748689508752852,0.3242703880959669,31.020021438598633,65,10,3,0.4717664023172599,0.38464380515999774
0.8475,0.6404367437835998,0.75357783914676,0.5474231499236757,0.8363624372827387,4,interpolation,drf_de_margin,0.05,400,18,13720,65,0.5748689508752852,0.3242703880959669,31.020021438598633,65,10,3,0.4717664023172599,0.38464380515999774
0.8421875,0.5572595736164369,0.7404098964269917,0.5571721187587727,0.8422583503571592,4,interpolation,drf_de_margin,0.08,640,18,13720,65,0.5748689508752852,0.3242703880959669,31.020021438598633,65,10,3,0.4717664023172599,0.38464380515999774
0.8375,0.5667952843380735,0.7339822146225748,0.5631539524721049,0.8399907645530819,4,interpolation,drf_de_margin,0.1,800,18,13720,65,0.5748689508752852,0.3242703880959669,31.020021438598633,65,10,3,0.4717664023172599,0.38464380515999774
0.825,0.5347635632953208,0.7138852065120979,0.5325484424624293,0.8293366778509832,4,interpolation,drf_de_margin,0.2,1600,18,13720,65,0.5748689508752852,0.3242703880959669,31.020021438598633,65,10,3,0.4717664023172599,0.38464380515999774
0.8158333333333333,0.4757270158070711,0.6936939306535858,0.4785139527651336,0.8186089965492678,4,interpolation,drf_de_margin,0.3,2400,18,13720,65,0.5748689508752852,0.3242703880959669,31.020021438598633,65,10,3,0.4717664023172599,0.38464380515999774
0.7828125,0.45831195951858106,0.6469193518759562,0.39281558985238785,0.7873852166235722,4,interpolation,drf_de_margin,0.4,3200,18,13720,65,0.5748689508752852,0.3242703880959669,31.020021438598633,65,10,3,0.4717664023172599,0.38464380515999774
0.739,0.38163019841864876,0.5827362384531036,0.3730866194609631,0.7475872272206984,4,interpolation,drf_de_margin,0.5,4000,18,13720,65,0.5748689508752852,0.3242703880959669,31.020021438598633,65,10,3,0.4717664023172599,0.38464380515999774
0.564,0.3052199493794228,0.37047398846186336,0.2992428772111698,0.6016168605659048,4,interpolation,drf_de_full,1.0,8000,18,13720,65,0.5748689508752852,0.3242703880959669,31.020021438598633,65,10,3,0.4717664023172599,0.38464380515999774
0.5256410256410257,0.22769567597153806,0.19580409859333855,0.12072230372922992,0.6149063722878507,4,extrapolation,drf_de_margin,0.01,312,18,13720,65,0.5748689508752852,0.3242703880959669,31.020021438598633,65,10,3,0.4717664023172599,0.38464380515999774
0.6826923076923077,0.310322015958313,0.31292201694936134,0.2085324769548943,0.7466949268407505,4,extrapolation,drf_de_margin,0.02,624,18,13720,65,0.5748689508752852,0.3242703880959669,31.020021438598633,65,10,3,0.4717664023172599,0.38464380515999774
0.7414529914529915,0.2802704126687296,0.3288563223364478,0.17676632512027593,0.7790681649645916,4,extrapolation,drf_de_margin,0.03,936,18,13720,65,0.5748689508752852,0.3242703880959669,31.020021438598633,65,10,3,0.4717664023172599,0.38464380515999774
0.7916666666666666,0.28465621273038,0.4686564018331119,0.206632764566936,0.8142574502327582,4,extrapolation,drf_de_margin,0.05,1560,18,13720,65,0.5748689508752852,0.3242703880959669,31.020021438598633,65,10,3,0.4717664023172599,0.38464380515999774
