Accuracy,Balanced Accuracy,MCC,F1_macro,F1_weighted,seed,split,method,coverage,kept_rows,synthetic_rows,cascade_layers,n_estimators,train_time
0.9375,0.6154825340438129,0.6932926429442491,0.5982818444032781,0.9242044654441403,5,interpolation,deepforest_kmeans_smote_margin,0.08,640,21596,3,80,6.898103713989258
0.91125,0.6840810591606462,0.6977623978827463,0.6585508635217882,0.8957671237719397,5,interpolation,deepforest_kmeans_smote_margin,0.1,800,21596,3,80,6.898103713989258
0.885,0.6509709834027444,0.6996701667579136,0.6433028535361646,0.8711710606537659,5,interpolation,deepforest_kmeans_smote_margin,0.2,1600,21596,3,80,6.898103713989258
0.8891666666666667,0.5443282975883312,0.690166586019158,0.543268257380935,0.873389309195775,5,interpolation,deepforest_kmeans_smote_margin,0.3,2400,21596,3,80,6.898103713989258
0.884375,0.47356392222658394,0.6705185329971445,0.47261975870675627,0.8634553540958316,5,interpolation,deepforest_kmeans_smote_margin,0.4,3200,21596,3,80,6.898103713989258
0.867,0.4316952981976932,0.6370422061994031,0.4376562450523651,0.8413751042955693,5,interpolation,deepforest_kmeans_smote_margin,0.5,4000,21596,3,80,6.898103713989258
0.7215,0.3774779956966667,0.442717221465825,0.37367096034129954,0.6866212230574814,5,interpolation,deepforest_kmeans_smote_full,1.0,8000,21596,3,80,6.898103713989258
0.9742647058823529,0.5,0.3520038520383685,0.4967289719626168,0.9615654205607477,5,extrapolation,deepforest_kmeans_smote_margin,0.01,272,21596,3,80,6.898103713989258
0.9650735294117647,0.25,0.22156992404644682,0.2764386129334583,0.9490242019956999,5,extrapolation,deepforest_kmeans_smote_margin,0.02,544,21596,3,80,6.898103713989258
0.9595588235294118,0.26785714285714285,0.6148658128635908,0.2703539893659487,0.9414731523547164,5,extrapolation,deepforest_kmeans_smote_margin,0.03,816,21596,3,80,6.898103713989258
0.9573529411764706,0.28879310344827586,0.6801622766622526,0.2998848725275335,0.9393763585204937,5,extrapolation,deepforest_kmeans_smote_margin,0.05,1360,21596,3,80,6.898103713989258
0.9650735294117647,0.30342871414299993,0.6912476713370864,0.3246505658084606,0.9501637646785187,5,extrapolation,deepforest_kmeans_smote_margin,0.08,2176,21596,3,80,6.898103713989258
0.9544117647058824,0.2784402617351926,0.6385027304928881,0.3014317881013308,0.9350125272486081,5,extrapolation,deepforest_kmeans_smote_margin,0.1,2720,21596,3,80,6.898103713989258
0.9518382352941176,0.2986749549729838,0.6291864107312274,0.3221478497859835,0.9325166006807392,5,extrapolation,deepforest_kmeans_smote_margin,0.2,5440,21596,3,80,6.898103713989258
0.9375,0.2869449820536314,0.6326397114377077,0.3122828587997836,0.9144052041938877,5,extrapolation,deepforest_kmeans_smote_margin,0.3,8160,21596,3,80,6.898103713989258
0.9146139705882353,0.2699983031179271,0.6263320568026675,0.2878508633375173,0.8845978303081139,5,extrapolation,deepforest_kmeans_smote_margin,0.4,10880,21596,3,80,6.898103713989258
0.8945588235294117,0.276628689097918,0.6404671776858465,0.2921679689901471,0.8600413303126422,5,extrapolation,deepforest_kmeans_smote_margin,0.5,13600,21596,3,80,6.898103713989258
0.6788970588235295,0.21458359671458824,0.4328231199076904,0.19219032935929217,0.6076884528908244,5,extrapolation,deepforest_kmeans_smote_full,1.0,27200,21596,3,80,6.898103713989258
0.9875,0.5,0.0,0.4968553459119497,0.9812893081761006,6,interpolation,deepforest_kmeans_smote_margin,0.01,80,21597,3,80,7.111026048660278
0.94375,0.3333333333333333,0.0,0.32368703108252944,0.9164389067524116,6,interpolation,deepforest_kmeans_smote_margin,0.02,160,21597,3,80,7.111026048660278
0.9416666666666667,0.25,0.0,0.24248927038626608,0.913376251788269,6,interpolation,deepforest_kmeans_smote_margin,0.03,240,21597,3,80,7.111026048660278
0.94,0.4,0.19861869352695402,0.39379844961240307,0.9109302325581394,6,interpolation,deepforest_kmeans_smote_margin,0.05,400,21597,3,80,7.111026048660278
0.93125,0.6590050650548871,0.650969914550719,0.5789396620857294,0.9047871596256426,6,interpolation,deepforest_kmeans_smote_margin,0.08,640,21597,3,80,7.111026048660278
0.93,0.6378890950319522,0.6768644665690738,0.5722055722055721,0.9029252136752137,6,interpolation,deepforest_kmeans_smote_margin,0.1,800,21597,3,80,7.111026048660278
0.91875,0.4679141755821271,0.6580003627718151,0.4725085144088747,0.8909022647238946,6,interpolation,deepforest_kmeans_smote_margin,0.2,1600,21597,3,80,7.111026048660278
0.89625,0.44399291542687497,0.6203576220708606,0.43891151221659697,0.8630590336022832,6,interpolation,deepforest_kmeans_smote_margin,0.3,2400,21597,3,80,7.111026048660278
0.8771875,0.4380114623217539,0.5907747816446797,0.41597653564326387,0.8418661631061662,6,interpolation,deepforest_kmeans_smote_margin,0.4,3200,21597,3,80,7.111026048660278
0.84375,0.3849037541220526,0.527982546776378,0.3638960557381077,0.8036807078144144,6,interpolation,deepforest_kmeans_smote_margin,0.5,4000,21597,3,80,7.111026048660278
0.663125,0.3269121604510806,0.3226988551241012,0.2687257757362724,0.6148259330152022,6,interpolation,deepforest_kmeans_smote_full,1.0,8000,21597,3,80,7.111026048660278
0.9375,0.4,0.6712551219086458,0.393158953722334,0.9073189134808853,6,extrapolation,deepforest_kmeans_smote_margin,0.01,272,21597,3,80,7.111026048660278
0.9264705882352942,0.4876543209876543,0.7868890319092537,0.4765134772922935,0.8930176866457102,6,extrapolation,deepforest_kmeans_smote_margin,0.02,544,21597,3,80,7.111026048660278
0.9252450980392157,0.4761904761904762,0.7796493611022375,0.46739087444245114,0.8935283668601816,6,extrapolation,deepforest_kmeans_smote_margin,0.03,816,21597,3,80,7.111026048660278
0.9169117647058823,0.40571428571428575,0.7211552519554116,0.3980749192021098,0.8817914045063259,6,extrapolation,deepforest_kmeans_smote_margin,0.05,1360,21597,3,80,7.111026048660278
0.9186580882352942,0.35740587695133147,0.6958580451129652,0.34816990918177504,0.8836454952290522,6,extrapolation,deepforest_kmeans_smote_margin,0.08,2176,21597,3,80,7.111026048660278
0.9235294117647059,0.3724977385908548,0.6961889072425012,0.3821783415254638,0.8908927712555589,6,extrapolation,deepforest_kmeans_smote_margin,0.1,2720,21597,3,80,7.111026048660278
0.9099264705882353,0.3192384879280493,0.6447983476411239,0.33180390123304143,0.875670191296789,6,extrapolation,deepforest_kmeans_smote_margin,0.2,5440,21597,3,80,7.111026048660278
0.8936274509803922,0.2888282170637021,0.6092501798092557,0.30379421610140256,0.8558533718983035,6,extrapolation,deepforest_kmeans_smote_margin,0.3,8160,21597,3,80,7.111026048660278
0.8646139705882353,0.26915027635258576,0.556279612701128,0.2891493879260131,0.820830933077556,6,extrapolation,deepforest_kmeans_smote_margin,0.4,10880,21597,3,80,7.111026048660278
0.8535294117647059,0.23381314958855337,0.5446835004189442,0.2512714784721776,0.8072671351867771,6,extrapolation,deepforest_kmeans_smote_margin,0.5,13600,21597,3,80,7.111026048660278
0.6754779411764706,0.21585054244980853,0.42910510595433826,0.1764497932610779,0.6039284765543125,6,extrapolation,deepforest_kmeans_smote_full,1.0,27200,21597,3,80,7.111026048660278
0.9875,0.6666666666666666,0.7048655496177798,0.6645435244161358,0.9812898089171975,7,interpolation,deepforest_kmeans_smote_margin,0.01,80,21596,3,80,7.0755932331085205
0.93125,0.4,0.2858978672492999,0.39283387622149835,0.89810667752443,7,interpolation,deepforest_kmeans_smote_margin,0.02,160,21596,3,80,7.0755932331085205
