Accuracy,Balanced Accuracy,MCC,F1_macro,F1_weighted,seed,split,method,coverage,kept_rows,n_features,train_time
0.98375,0.8330893118594437,0.9370676205005204,0.8300763627561013,0.9763212187231793,5,interpolation,meta_information_tensor_margin,0.1,800,77,5.472548723220825
0.96625,0.7385927428233087,0.8669949016103136,0.6195460797334335,0.9536334584131716,5,interpolation,meta_information_tensor_margin,0.2,1600,77,5.472548723220825
0.9520833333333333,0.6548959332083274,0.8192826928644873,0.559800122551394,0.9377923823680061,5,interpolation,meta_information_tensor_margin,0.3,2400,77,5.472548723220825
0.9325,0.5562650389286133,0.7751937114422024,0.5607652931619839,0.9177853098249972,5,interpolation,meta_information_tensor_margin,0.4,3200,77,5.472548723220825
0.907,0.5478623246713379,0.720476273627663,0.5622320459400849,0.8938833536698645,5,interpolation,meta_information_tensor_margin,0.5,4000,77,5.472548723220825
0.75225,0.4259419185269367,0.5412071283104789,0.4434254168581787,0.7498153541575735,5,interpolation,meta_information_tensor_full,1.0,8000,77,5.472548723220825
0.9632352941176471,0.6,0.7542073994985078,0.5960474308300395,0.9452162287840037,5,extrapolation,meta_information_tensor_margin,0.01,272,77,5.472548723220825
0.9650735294117647,0.5,0.7380978670898972,0.5296114920013059,0.9485480161702291,5,extrapolation,meta_information_tensor_margin,0.02,544,77,5.472548723220825
0.9681372549019608,0.5,0.7799084355741127,0.527688752920523,0.9528737048266491,5,extrapolation,meta_information_tensor_margin,0.03,816,77,5.472548723220825
0.9705882352941176,0.5,0.794621633189521,0.5288746704421181,0.9563507488841676,5,extrapolation,meta_information_tensor_margin,0.05,1360,77,5.472548723220825
0.9715073529411765,0.52,0.8052957009647729,0.5453232392401531,0.9581588469053832,5,extrapolation,meta_information_tensor_margin,0.08,2176,77,5.472548723220825
0.9661764705882353,0.4351923076923077,0.7964979508918205,0.4372923610173037,0.9507441841379147,5,extrapolation,meta_information_tensor_margin,0.1,2720,77,5.472548723220825
0.9577205882352942,0.3477074462497156,0.800509076917954,0.35309419071880044,0.94009092211766,5,extrapolation,meta_information_tensor_margin,0.2,5440,77,5.472548723220825
0.9442401960784313,0.339549545245371,0.7854017644217494,0.34320102467653796,0.922826079953692,5,extrapolation,meta_information_tensor_margin,0.3,8160,77,5.472548723220825
0.927297794117647,0.34537114083837056,0.7645162157979317,0.34209725848273925,0.9002537421803211,5,extrapolation,meta_information_tensor_margin,0.4,10880,77,5.472548723220825
0.8997794117647059,0.31326889133216,0.7220159211437636,0.3038182631511499,0.8632467222413871,5,extrapolation,meta_information_tensor_margin,0.5,13600,77,5.472548723220825
0.699375,0.2322999241007144,0.49038420656970466,0.22479225951833262,0.6510343378641461,5,extrapolation,meta_information_tensor_full,1.0,27200,77,5.472548723220825
1.0,1.0,1.0,1.0,1.0,6,interpolation,meta_information_tensor_margin,0.01,80,77,5.415026664733887
1.0,1.0,1.0,1.0,1.0,6,interpolation,meta_information_tensor_margin,0.02,160,77,5.415026664733887
0.9916666666666667,0.5,0.9272568110442776,0.4988938053097345,0.9875184365781711,6,interpolation,meta_information_tensor_margin,0.03,240,77,5.415026664733887
0.9825,0.5,0.8692015726153024,0.49843819723337796,0.9738319946452476,6,interpolation,meta_information_tensor_margin,0.05,400,77,5.415026664733887
0.9765625,0.49673202614379086,0.8695790300736569,0.4947239940152768,0.9657567771084337,6,interpolation,meta_information_tensor_margin,0.08,640,77,5.415026664733887
0.96875,0.4975845410628019,0.8447792168049783,0.49268114498240023,0.9539966626818093,6,interpolation,meta_information_tensor_margin,0.1,800,77,5.415026664733887
0.94375,0.37417763157894735,0.7747818940490653,0.36771668529686413,0.9167523238871332,6,interpolation,meta_information_tensor_margin,0.2,1600,77,5.415026664733887
0.9295833333333333,0.37130335577388174,0.7462549900192622,0.36289641002500334,0.8979445765708451,6,interpolation,meta_information_tensor_margin,0.3,2400,77,5.415026664733887
0.911875,0.34285268634257493,0.7199185237028065,0.3622079572218281,0.8752653694750251,6,interpolation,meta_information_tensor_margin,0.4,3200,77,5.415026664733887
0.88975,0.3516118351501775,0.6923286798416305,0.3612983289243734,0.8513564458553393,6,interpolation,meta_information_tensor_margin,0.5,4000,77,5.415026664733887
0.7155,0.3325693873383306,0.468353540027541,0.34219005297929495,0.7036465682290195,6,interpolation,meta_information_tensor_full,1.0,8000,77,5.415026664733887
0.9632352941176471,0.6,0.8754668720320853,0.5956521739130435,0.9452525575447569,6,extrapolation,meta_information_tensor_margin,0.01,272,77,5.415026664733887
0.9577205882352942,0.48888888888888893,0.8332325953569105,0.4768162940205951,0.937980909209562,6,extrapolation,meta_information_tensor_margin,0.02,544,77,5.415026664733887
0.9620098039215687,0.49074074074074076,0.8312410557818649,0.47667743921206523,0.9440637277533357,6,extrapolation,meta_information_tensor_margin,0.03,816,77,5.415026664733887
0.9595588235294118,0.4939073272406606,0.8126814620155056,0.48155104036610386,0.940505304102243,6,extrapolation,meta_information_tensor_margin,0.05,1360,77,5.415026664733887
0.9641544117647058,0.4843047690851634,0.81543376776803,0.4784984987033695,0.9479181271608046,6,extrapolation,meta_information_tensor_margin,0.08,2176,77,5.415026664733887
0.9639705882352941,0.55885425650579,0.8069971320666144,0.5538597315230245,0.9475575717431477,6,extrapolation,meta_information_tensor_margin,0.1,2720,77,5.415026664733887
0.9514705882352941,0.46103570362388463,0.7670191806886534,0.44073461331675756,0.9316029869248978,6,extrapolation,meta_information_tensor_margin,0.2,5440,77,5.415026664733887
0.9354166666666667,0.40630753699116945,0.7486608649941335,0.3933484476876885,0.9096699018097552,6,extrapolation,meta_information_tensor_margin,0.3,8160,77,5.415026664733887
0.9134191176470589,0.4001310710112785,0.7248185671516352,0.3789962326204409,0.8809769343100685,6,extrapolation,meta_information_tensor_margin,0.4,10880,77,5.415026664733887
