Accuracy,Balanced Accuracy,MCC,F1_macro,F1_weighted,seed,split,method,coverage,kept_rows,n_features,knn,train_time
0.9044117647058824,0.3636363636363636,0.18649578060254693,0.37209302325581395,0.8620896032831737,3,extrapolation,graph_feature_margin,0.01,272,62,8,1.7360749244689941
0.9283088235294118,0.22857142857142856,0.21624147733444357,0.2425358851674641,0.8965583661694343,3,extrapolation,graph_feature_margin,0.02,544,62,8,1.7360749244689941
0.9313725490196079,0.16326530612244897,0.18243025344983468,0.17348237004725556,0.9001194307239435,3,extrapolation,graph_feature_margin,0.03,816,62,8,1.7360749244689941
0.9411764705882353,0.18181818181818182,0.25984530776478765,0.19973286118100209,0.9151810495887852,3,extrapolation,graph_feature_margin,0.05,1360,62,8,1.7360749244689941
0.9388786764705882,0.2647058823529412,0.29355890856056777,0.30809803779245604,0.9120780389168078,3,extrapolation,graph_feature_margin,0.08,2176,62,8,1.7360749244689941
0.9352941176470588,0.284472049689441,0.3139885584940538,0.3396134557122306,0.9073497401100913,3,extrapolation,graph_feature_margin,0.1,2720,62,8,1.7360749244689941
0.9277573529411764,0.26532612664744143,0.46646547185548204,0.3075283213716729,0.8989938548629484,3,extrapolation,graph_feature_margin,0.2,5440,62,8,1.7360749244689941
0.9105392156862745,0.22820192656181687,0.5417769999725492,0.2526630037313651,0.8767746321332377,3,extrapolation,graph_feature_margin,0.3,8160,62,8,1.7360749244689941
0.8728860294117647,0.2129526342952276,0.5920121152970044,0.22379237204342262,0.8297194147930023,3,extrapolation,graph_feature_margin,0.4,10880,62,8,1.7360749244689941
0.8019117647058823,0.20872731047259552,0.5575227684720753,0.18488289053866014,0.7427147012509058,3,extrapolation,graph_feature_margin,0.5,13600,62,8,1.7360749244689941
0.6236764705882353,0.21419529399463885,0.39619121617371283,0.18388429437707463,0.6034181809340853,3,extrapolation,graph_feature_full,1.0,27200,62,8,1.7360749244689941
0.9875,0.6666666666666666,0.7048655496177798,0.6645435244161358,0.9812898089171975,4,interpolation,graph_feature_margin,0.01,80,62,8,1.7871065139770508
0.9375,0.5,0.7749342451735586,0.4909420289855072,0.9073822463768115,4,interpolation,graph_feature_margin,0.02,160,62,8,1.7871065139770508
0.95,0.5,0.8231485538731965,0.4890389954829887,0.92565165140276,4,interpolation,graph_feature_margin,0.03,240,62,8,1.7871065139770508
0.9325,0.5,0.7821422754130414,0.4878308305608009,0.9000163354614393,4,interpolation,graph_feature_margin,0.05,400,62,8,1.7871065139770508
0.925,0.4941860465116279,0.7736142460741222,0.483357421276223,0.8906191148775895,4,interpolation,graph_feature_margin,0.08,640,62,8,1.7871065139770508
0.92,0.32716049382716045,0.761105251217214,0.32023402076934326,0.8842348398420361,4,interpolation,graph_feature_margin,0.1,800,62,8,1.7871065139770508
0.904375,0.32381179256179254,0.7194030991157874,0.3257279743701762,0.871724252948886,4,interpolation,graph_feature_margin,0.2,1600,62,8,1.7871065139770508
0.865,0.2895943863342567,0.6260893292056898,0.2927277084170615,0.8483693637666573,4,interpolation,graph_feature_margin,0.3,2400,62,8,1.7871065139770508
0.78125,0.3145368291428137,0.5303409162130207,0.3073204567153271,0.7853340088849055,4,interpolation,graph_feature_margin,0.4,3200,62,8,1.7871065139770508
0.7095,0.3179743152452204,0.47084537030994306,0.3262729363662911,0.7253410774989747,4,interpolation,graph_feature_margin,0.5,4000,62,8,1.7871065139770508
