Accuracy,Balanced Accuracy,MCC,F1_macro,F1_weighted,seed,split,method,coverage,kept_rows,epochs,hidden,heads,knn,train_time
0.923125,0.5370351907966907,0.8422957708408043,0.5238589377677577,0.8966179145003617,3,interpolation,resgat_margin,0.2,1600,80,96,4,4,1.5049753189086914
0.8895833333333333,0.4952908231477209,0.7769176908647675,0.4851979765185973,0.8642011190567522,3,interpolation,resgat_margin,0.3,2400,80,96,4,4,1.5049753189086914
0.8590625,0.49721994477992065,0.7187074669102653,0.473189340804271,0.8417580447300687,3,interpolation,resgat_margin,0.4,3200,80,96,4,4,1.5049753189086914
0.82575,0.48628452822635404,0.6671683768786404,0.46506902914478293,0.8150342943187323,3,interpolation,resgat_margin,0.5,4000,80,96,4,4,1.5049753189086914
0.650375,0.47589524095134755,0.4448685092944286,0.41337862874822856,0.6672468372178886,3,interpolation,resgat_full,1.0,8000,80,96,4,4,1.5049753189086914
0.9705882352941176,0.5739130434782609,0.8444885323836309,0.5789668579892613,0.9612462833680039,3,extrapolation,resgat_margin,0.01,272,80,96,4,4,1.5049753189086914
0.9448529411764706,0.6549295774647887,0.8740859768602676,0.6538585345192715,0.9271218887809253,3,extrapolation,resgat_margin,0.02,544,80,96,4,4,1.5049753189086914
0.9252450980392157,0.5377233085014829,0.857915689426741,0.5444049578858432,0.9029550894194639,3,extrapolation,resgat_margin,0.03,816,80,96,4,4,1.5049753189086914
0.8698529411764706,0.39634120805063744,0.7781790877994161,0.39162420683318516,0.8334983011248718,3,extrapolation,resgat_margin,0.05,1360,80,96,4,4,1.5049753189086914
0.8221507352941176,0.38926403370121826,0.7158242265850329,0.37921186900714043,0.7790679600466108,3,extrapolation,resgat_margin,0.08,2176,80,96,4,4,1.5049753189086914
0.7952205882352941,0.3393073246543541,0.6805738736801235,0.32410766076697484,0.7486661400130373,3,extrapolation,resgat_margin,0.1,2720,80,96,4,4,1.5049753189086914
0.7246323529411764,0.29500774579748323,0.5991726016491012,0.26804927001929035,0.6641612266792241,3,extrapolation,resgat_margin,0.2,5440,80,96,4,4,1.5049753189086914
0.6928921568627451,0.2786025206224781,0.561688371788262,0.24460908528750558,0.6336301790082614,3,extrapolation,resgat_margin,0.3,8160,80,96,4,4,1.5049753189086914
0.6503676470588236,0.2637200551319151,0.5093063622367137,0.23285006402550587,0.5979148291924323,3,extrapolation,resgat_margin,0.4,10880,80,96,4,4,1.5049753189086914
0.6060294117647059,0.21083688967943096,0.45680293823282403,0.1803091595279295,0.5600705229143162,3,extrapolation,resgat_margin,0.5,13600,80,96,4,4,1.5049753189086914
0.49481617647058823,0.1877846084433948,0.286615921062102,0.1398217025659417,0.4838664299526194,3,extrapolation,resgat_full,1.0,27200,80,96,4,4,1.5049753189086914
0.9875,0.9935897435897436,0.9739402133061028,0.8856526429341963,0.989522653721683,4,interpolation,resgat_margin,0.01,80,80,96,4,4,1.503941535949707
0.96875,0.6177170868347339,0.9326008426211131,0.6141639442322735,0.9626354506970966,4,interpolation,resgat_margin,0.02,160,80,96,4,4,1.503941535949707
0.9708333333333333,0.6200943396226415,0.9363981685473044,0.6161390315858968,0.9626387427533989,4,interpolation,resgat_margin,0.03,240,80,96,4,4,1.503941535949707
0.965,0.5413961038961039,0.9180439832792388,0.5501644868330589,0.9570471015941032,4,interpolation,resgat_margin,0.05,400,80,96,4,4,1.503941535949707
0.965625,0.4309999146101956,0.9097083429766117,0.43898269564696724,0.9567894746197834,4,interpolation,resgat_margin,0.08,640,80,96,4,4,1.503941535949707
0.96375,0.447387617900863,0.9027047802561152,0.46647219033753906,0.9557644438580827,4,interpolation,resgat_margin,0.1,800,80,96,4,4,1.503941535949707
0.92875,0.42071659034538783,0.817662517753745,0.4296101096279987,0.9190973131966423,4,interpolation,resgat_margin,0.2,1600,80,96,4,4,1.503941535949707
0.8625,0.4820957965073711,0.7135408421127056,0.45124581596179997,0.8649629753636017,4,interpolation,resgat_margin,0.3,2400,80,96,4,4,1.503941535949707
0.8,0.47795273844964103,0.630269017420198,0.43707391799117257,0.8083909029954196,4,interpolation,resgat_margin,0.4,3200,80,96,4,4,1.503941535949707
0.74525,0.45105567333687413,0.566975328041087,0.39725264554090545,0.7625450200125303,4,interpolation,resgat_margin,0.5,4000,80,96,4,4,1.503941535949707
0.60425,0.3688944059057741,0.40607771126070946,0.3234409771601558,0.6346858550034576,4,interpolation,resgat_full,1.0,8000,80,96,4,4,1.503941535949707
0.8492647058823529,0.48019574588368313,0.7157763840003319,0.4359058814882191,0.8024298318574958,4,extrapolation,resgat_margin,0.01,272,80,96,4,4,1.503941535949707
0.8474264705882353,0.4385773337064261,0.7552203863369537,0.4141544173346095,0.7942465600209669,4,extrapolation,resgat_margin,0.02,544,80,96,4,4,1.503941535949707
0.7965686274509803,0.4263419087513899,0.7036873519394327,0.4028912347014477,0.7293294365669644,4,extrapolation,resgat_margin,0.03,816,80,96,4,4,1.503941535949707
0.7919117647058823,0.4206503677201352,0.7021275864089527,0.4019494244124939,0.7228678834681238,4,extrapolation,resgat_margin,0.05,1360,80,96,4,4,1.503941535949707
0.8051470588235294,0.3788381517925992,0.7129496202883662,0.36998016189632643,0.7391014395713991,4,extrapolation,resgat_margin,0.08,2176,80,96,4,4,1.503941535949707
0.8169117647058823,0.3786690043100299,0.7239667454639824,0.37063372788724347,0.7552332138114222,4,extrapolation,resgat_margin,0.1,2720,80,96,4,4,1.503941535949707
0.821139705882353,0.36132539830206695,0.7303642253726932,0.3519783594354833,0.7714721480842525,4,extrapolation,resgat_margin,0.2,5440,80,96,4,4,1.503941535949707
0.8075980392156863,0.32776035727530173,0.7124655917563462,0.3165767312064805,0.7648562017894577,4,extrapolation,resgat_margin,0.3,8160,80,96,4,4,1.503941535949707
0.7922794117647058,0.3184785177151672,0.6913027817209664,0.3088450657412838,0.7555587133396506,4,extrapolation,resgat_margin,0.4,10880,80,96,4,4,1.503941535949707
0.7711029411764706,0.30856788212111835,0.6613232499473364,0.2943205955381854,0.7373284529069544,4,extrapolation,resgat_margin,0.5,13600,80,96,4,4,1.503941535949707
0.6159926470588235,0.26757827701516396,0.45608666032886885,0.22954239937817536,0.6019134185905748,4,extrapolation,resgat_full,1.0,27200,80,96,4,4,1.503941535949707
0.9875,0.6666666666666666,0.8297490873303857,0.6,0.9824999999999999,5,interpolation,resgat_margin,0.01,80,80,96,4,4,1.523071050643921
0.99375,0.8888888888888888,0.9147454398070144,0.8857142857142857,0.9935714285714287,5,interpolation,resgat_margin,0.02,160,80,96,4,4,1.523071050643921
0.9833333333333333,0.9137037037037037,0.8713065972397482,0.6819196428571428,0.9874069940476191,5,interpolation,resgat_margin,0.03,240,80,96,4,4,1.523071050643921
0.975,0.9175084175084175,0.8242784194842767,0.6922058979997163,0.9837102558873599,5,interpolation,resgat_margin,0.05,400,80,96,4,4,1.523071050643921
0.9546875,0.7481024163536897,0.7133513482531714,0.7509142462624675,0.9607693286770675,5,interpolation,resgat_margin,0.08,640,80,96,4,4,1.523071050643921
0.94375,0.7290931688895264,0.6439703355004736,0.6704605989735594,0.947476093029299,5,interpolation,resgat_margin,0.1,800,80,96,4,4,1.523071050643921
0.89625,0.5942066778925651,0.65457934987314,0.5738139045204618,0.8889464823946759,5,interpolation,resgat_margin,0.2,1600,80,96,4,4,1.523071050643921
0.8804166666666666,0.6074054364730019,0.6844862827187866,0.5680474013731626,0.8727285071872615,5,interpolation,resgat_margin,0.3,2400,80,96,4,4,1.523071050643921
0.86,0.6024035289218678,0.6679754189585277,0.47590539184770175,0.8499088730889863,5,interpolation,resgat_margin,0.4,3200,80,96,4,4,1.523071050643921
0.83925,0.54152006843117,0.6656466114787373,0.4925659922757922,0.839003346943758,5,interpolation,resgat_margin,0.5,4000,80,96,4,4,1.523071050643921
0.697125,0.4676295802669047,0.49726555670672484,0.41838643231390027,0.719663838511708,5,interpolation,resgat_full,1.0,8000,80,96,4,4,1.523071050643921
0.9963235294117647,0.5,0.0,0.4990791896869245,0.9944886794496803,5,extrapolation,resgat_margin,0.01,272,80,96,4,4,1.523071050643921
0.9705882352941176,0.5526315789473684,0.795962663757617,0.5699722730222405,0.9632757437527545,5,extrapolation,resgat_margin,0.02,544,80,96,4,4,1.523071050643921
