Accuracy,Balanced Accuracy,MCC,F1_macro,F1_weighted,seed,split,method,coverage,kept_rows
0.9091911764705882,0.1111111111111111,0.0,0.1058262190555662,0.8659463814410803,3,extrapolation,pdsmvknn_margin,0.2,5440
0.8840686274509804,0.1111111111111111,0.0,0.1042741714004885,0.8296697122975638,3,extrapolation,pdsmvknn_margin,0.3,8160
0.8473345588235294,0.0909090909090909,0.0,0.0833962793264251,0.7773100450563827,3,extrapolation,pdsmvknn_margin,0.4,10880
0.8119117647058823,0.0909090909090909,0.0,0.0814721355261895,0.7276300386236794,3,extrapolation,pdsmvknn_margin,0.5,13600
0.5844117647058824,0.0971369649355469,0.1757793358220335,0.0852157476674635,0.4608666820360479,3,extrapolation,pdsmvknn_full,1.0,27200
0.9875,0.5,0.0,0.4968553459119497,0.9812893081761006,4,interpolation,pdsmvknn_margin,0.01,80
0.9625,0.25,0.0,0.2452229299363057,0.944108280254777,4,interpolation,pdsmvknn_margin,0.02,160
0.9541666666666668,0.25,0.0,0.244136460554371,0.9317874911158494,4,interpolation,pdsmvknn_margin,0.03,240
0.93,0.25,0.0,0.2409326424870466,0.8962694300518135,4,interpolation,pdsmvknn_margin,0.05,400
0.915625,0.1666666666666666,0.0,0.1593257205002718,0.8752956769983686,4,interpolation,pdsmvknn_margin,0.08,640
0.91875,0.125,0.0,0.1197068403908794,0.8798452768729642,4,interpolation,pdsmvknn_margin,0.1,800
0.878125,0.125,0.0,0.1168885191347753,0.8211418469217969,4,interpolation,pdsmvknn_margin,0.2,1600
0.8479166666666667,0.124938605108055,-0.0067611765509436,0.1147125140924464,0.7785155956407366,4,interpolation,pdsmvknn_margin,0.3,2400
0.8203125,0.1249048344118766,0.0015987394157227,0.1126802884615384,0.7400277944711539,4,interpolation,pdsmvknn_margin,0.4,3200
0.792,0.1249211356466876,0.0060325951807713,0.110521909014792,0.7007089031537818,4,interpolation,pdsmvknn_margin,0.5,4000
0.638625,0.1400985471969468,0.1163811676158494,0.1351115118486757,0.5550554093528731,4,interpolation,pdsmvknn_full,1.0,8000
0.7867647058823529,0.3076923076923076,0.4081832167274226,0.3146724890829694,0.7090900333932699,4,extrapolation,pdsmvknn_margin,0.01,272
0.8345588235294118,0.2163265306122448,0.3852292476121146,0.2248649720033695,0.7701370610679235,4,extrapolation,pdsmvknn_margin,0.02,544
0.8492647058823529,0.2230576441102756,0.4294108955745053,0.2313490884919456,0.7912512544865485,4,extrapolation,pdsmvknn_margin,0.03,816
0.8580882352941176,0.175595238095238,0.4732381584802958,0.1817433773955513,0.8054323234310445,4,extrapolation,pdsmvknn_margin,0.05,1360
0.8759191176470589,0.1640243902439024,0.5030242612016885,0.1687831614077105,0.8286773911488585,4,extrapolation,pdsmvknn_margin,0.08,2176
0.8738970588235294,0.1653312351558815,0.5079996487763171,0.1686412108162479,0.826314273302698,4,extrapolation,pdsmvknn_margin,0.1,2720
0.8636029411764706,0.1378581577646251,0.507295303043424,0.1376144096463274,0.8134543437964219,4,extrapolation,pdsmvknn_margin,0.2,5440
0.8474264705882353,0.1378861371023358,0.4907232032746049,0.1348753525250861,0.7917072146548589,4,extrapolation,pdsmvknn_margin,0.3,8160
0.8295036764705882,0.1367499210459077,0.4723052372488747,0.1321396000700706,0.7686081297655711,4,extrapolation,pdsmvknn_margin,0.4,10880
0.7988235294117647,0.134973463979537,0.4422584213044946,0.1281992970723885,0.7293992427662587,4,extrapolation,pdsmvknn_margin,0.5,13600
0.6260661764705883,0.1286680377945156,0.3285518410448562,0.1154371146930534,0.5397252552719455,4,extrapolation,pdsmvknn_full,1.0,27200
0.95,0.25,0.0,0.2435897435897435,0.9256410256410256,5,interpolation,pdsmvknn_margin,0.01,80
0.9375,0.1666666666666666,0.0,0.1612903225806451,0.907258064516129,5,interpolation,pdsmvknn_margin,0.02,160
0.9375,0.1666666666666666,0.0,0.1612903225806451,0.9072580645161292,5,interpolation,pdsmvknn_margin,0.03,240
0.9275,0.1666666666666666,0.0,0.1603977518374405,0.8926134889753566,5,interpolation,pdsmvknn_margin,0.05,400
