method,split,coverage,Accuracy_mean,Accuracy_std,Balanced Accuracy_mean,Balanced Accuracy_std,MCC_mean,MCC_std,F1_macro_mean,F1_macro_std,F1_weighted_mean,F1_weighted_std,kept_rows_mean,kept_rows_std,synthetic_rows_mean,synthetic_rows_std
mscgan_mscnn_margin,extrapolation,0.4,0.8013034759358288,0.05130211098577917,0.3637320530572877,0.03794445608776904,0.6469090289196957,0.03751244424826711,0.27866259228358825,0.029430907452857483,0.7744686116169137,0.05503809175685116,10880.0,0.0,3129.7272727272725,157.15475869924583
mscgan_mscnn_margin,extrapolation,0.5,0.778475935828877,0.04825193726175586,0.3506627733980018,0.03846288286023263,0.620005548726385,0.03930099420674812,0.2645791631554744,0.029702509269785,0.7523068370153392,0.05037510560698851,13600.0,0.0,3129.7272727272725,157.15475869924583
mscgan_mscnn_margin,interpolation,0.01,0.7931818181818181,0.16397061821059172,0.5922901556910457,0.19220365462528924,0.6667621280806988,0.1688784435650624,0.4943424187011793,0.2039353864002477,0.805271339774469,0.145250433523993,80.0,0.0,3129.7272727272725,157.15475869924583
mscgan_mscnn_margin,interpolation,0.02,0.7835227272727273,0.14018048431154095,0.5715017023246279,0.15070469206273365,0.6374254584635479,0.17633569568473986,0.47503403825686646,0.14951595696493158,0.8059875622831442,0.11788199881168168,160.0,0.0,3129.7272727272725,157.15475869924583
mscgan_mscnn_margin,interpolation,0.03,0.793560606060606,0.1149783137215998,0.5805107973953271,0.10514988326716564,0.6458997309324833,0.1551012221224242,0.4786509581930518,0.11268019407265667,0.8160070989985794,0.09624437819792014,240.0,0.0,3129.7272727272725,157.15475869924583
mscgan_mscnn_margin,interpolation,0.05,0.8002272727272728,0.09917443310560528,0.5917688272690497,0.09252468180221418,0.6519621354078894,0.122026440482631,0.4739853168631505,0.09545364746253684,0.821932481728551,0.08495567858000524,400.0,0.0,3129.7272727272725,157.15475869924583
mscgan_mscnn_margin,interpolation,0.08,0.8069602272727273,0.0807779666776045,0.6159297307037193,0.07639272279498369,0.6603162931582766,0.08077848437359475,0.4869103519155601,0.08654344386422255,0.8290195765273115,0.0652048587531775,640.0,0.0,3129.7272727272725,157.15475869924583
mscgan_mscnn_margin,interpolation,0.1,0.8060227272727274,0.08044178442711337,0.6373759882159941,0.09002457995909373,0.6621924837650537,0.07524970743321685,0.49181989736291015,0.08491804662343237,0.8280921904581414,0.061479218608970376,800.0,0.0,3129.7272727272725,157.15475869924583
mscgan_mscnn_margin,interpolation,0.2,0.7851704545454545,0.06284162316707557,0.6245367685388437,0.09713548923270421,0.6267150393039009,0.05352095195638175,0.4544158548500181,0.08047024509310051,0.8101422980326071,0.04773215531281875,1600.0,0.0,3129.7272727272725,157.15475869924583
mscgan_mscnn_margin,interpolation,0.3,0.7608712121212121,0.06880892791350596,0.6068971087210643,0.0837190901435293,0.600502875962308,0.06106573022808587,0.4522390167749348,0.06508725923538361,0.7860959258820106,0.054567573738552484,2400.0,0.0,3129.7272727272725,157.15475869924583
mscgan_mscnn_margin,interpolation,0.4,0.7268749999999999,0.06551568275993161,0.5492486543040991,0.07582958618407444,0.5556259026579048,0.05739535904453448,0.4330187051627476,0.056330615217472284,0.7552867264625149,0.0533296431634616,3200.0,0.0,3129.7272727272725,157.15475869924583
