Accuracy,Balanced Accuracy,MCC,F1_macro,F1_weighted,seed,split,method,coverage,kept_rows
0.9201286764705884,0.33435210814779,0.6778395470012706,0.2681522871734919,0.8898470038703925,6,extrapolation,ProfileAnchor-Seq,0.4,10880
0.8988970588235294,0.281103737610157,0.6860590228418946,0.2255172053174628,0.8635317471988117,6,extrapolation,ProfileAnchor-Seq,0.5,13600
1.0,1.0,1.0,1.0,1.0,7,extrapolation,ProfileAnchor-Seq,0.01,272
0.9761029411764706,0.75,0.8056727182435175,0.7468292682926829,0.9643059540889524,7,extrapolation,ProfileAnchor-Seq,0.02,544
0.9779411764705882,0.7403846153846154,0.81851192279412,0.7421721614523573,0.967641578036656,7,extrapolation,ProfileAnchor-Seq,0.03,816
0.9808823529411764,0.7314935064935065,0.8195041804365636,0.7380473782296698,0.9721411254924792,7,extrapolation,ProfileAnchor-Seq,0.05,1360
0.9829963235294118,0.4825024437927663,0.8239808575998646,0.4868892610326756,0.97568042172153,7,extrapolation,ProfileAnchor-Seq,0.08,2176
0.9830882352941176,0.4864864864864865,0.8304601812655582,0.4894182688768675,0.9756028933963083,7,extrapolation,ProfileAnchor-Seq,0.1,2720
0.9676470588235294,0.4225308148694408,0.775861784931388,0.4229084713083132,0.9540733910498824,7,extrapolation,ProfileAnchor-Seq,0.2,5440
0.9533088235294118,0.3772644247318126,0.7606310726909293,0.373142281667533,0.9348232990693568,7,extrapolation,ProfileAnchor-Seq,0.3,8160
0.9337316176470588,0.3378502470119252,0.7474634675753831,0.3308366330597234,0.909240876330896,7,extrapolation,ProfileAnchor-Seq,0.4,10880
0.9075,0.2754317569571642,0.7225621835337827,0.2774284693361877,0.8733544794728564,7,extrapolation,ProfileAnchor-Seq,0.5,13600
1.0,1.0,1.0,1.0,1.0,8,extrapolation,ProfileAnchor-Seq,0.01,272
0.9889705882352942,0.6777777777777778,0.7876035284310644,0.7204386839481555,0.9849648358845036,8,extrapolation,ProfileAnchor-Seq,0.02,544
0.9877450980392156,0.6866666666666668,0.7812931743485316,0.7251789199739752,0.9826562971751268,8,extrapolation,ProfileAnchor-Seq,0.03,816
0.9838235294117648,0.6062209025257524,0.7953552067056987,0.6109987956535271,0.976862016758963,8,extrapolation,ProfileAnchor-Seq,0.05,1360
0.9839154411764706,0.472784528502753,0.8081849274206316,0.4690498166825315,0.9768265856087128,8,extrapolation,ProfileAnchor-Seq,0.08,2176
0.981985294117647,0.4653200296353563,0.7900505778254672,0.4534762127703829,0.974330155720971,8,extrapolation,ProfileAnchor-Seq,0.1,2720
0.971139705882353,0.4192985621076363,0.7790989935455319,0.413708461599379,0.9587608894124312,8,extrapolation,ProfileAnchor-Seq,0.2,5440
0.9439950980392156,0.3358467722711491,0.7285207423801681,0.3202588847844313,0.920724048650749,8,extrapolation,ProfileAnchor-Seq,0.3,8160
0.9146139705882352,0.3288380251946698,0.7203819910149705,0.309211359877495,0.881986522167199,8,extrapolation,ProfileAnchor-Seq,0.4,10880
0.8958088235294117,0.3267095797869496,0.7141303215056781,0.3007884774496805,0.8587485308108396,8,extrapolation,ProfileAnchor-Seq,0.5,13600
1.0,1.0,1.0,1.0,1.0,9,extrapolation,ProfileAnchor-Seq,0.01,272
0.9724264705882352,0.756140350877193,0.7900354957726892,0.7734744806243337,0.9605720919726076,9,extrapolation,ProfileAnchor-Seq,0.02,544
0.9779411764705882,0.7716666666666667,0.8075365302644592,0.7828867588439735,0.9682205492554494,9,extrapolation,ProfileAnchor-Seq,0.03,816
0.9683823529411764,0.4871042647828362,0.7016370512930858,0.4695082030282957,0.9539609651644836,9,extrapolation,ProfileAnchor-Seq,0.05,1360
0.9701286764705882,0.4880938960079165,0.6994861338318599,0.4732617966951581,0.9563582792189074,9,extrapolation,ProfileAnchor-Seq,0.08,2176
0.970220588235294,0.4296591389659362,0.7200436552742089,0.4196833165762168,0.9568558659250982,9,extrapolation,ProfileAnchor-Seq,0.1,2720
0.9577205882352942,0.3787866682547136,0.754046269117759,0.3723680844698337,0.9399967941627856,9,extrapolation,ProfileAnchor-Seq,0.2,5440
0.940686274509804,0.3449554217724006,0.7655743944006118,0.3324395955003155,0.9165151957972644,9,extrapolation,ProfileAnchor-Seq,0.3,8160
0.9190257352941176,0.3420400448596389,0.7387189050569415,0.3176376339397685,0.8872843371276282,9,extrapolation,ProfileAnchor-Seq,0.4,10880
0.9030147058823528,0.337391120724454,0.7275594363237121,0.2957652878873059,0.8683479175308965,9,extrapolation,ProfileAnchor-Seq,0.5,13600
1.0,1.0,1.0,1.0,1.0,42,extrapolation,ProfileAnchor-Seq,0.01,272
0.9889705882352942,0.8,0.8245862123779762,0.7988636363636363,0.9834872159090908,42,extrapolation,ProfileAnchor-Seq,0.02,544
0.9901960784313726,0.8,0.8912929222060814,0.798974358974359,0.9853192559074913,42,extrapolation,ProfileAnchor-Seq,0.03,816
0.9882352941176472,0.7453012887495646,0.8389219559121092,0.7639228519118668,0.9836867923109394,42,extrapolation,ProfileAnchor-Seq,0.05,1360
0.9862132352941176,0.5383929889688047,0.8175985058200835,0.546484294961923,0.9802207310750072,42,extrapolation,ProfileAnchor-Seq,0.08,2176
0.9838235294117648,0.4686537350789372,0.7977292078433077,0.4758296913411636,0.9768310751642914,42,extrapolation,ProfileAnchor-Seq,0.1,2720
0.9558823529411764,0.4257017885402798,0.7184813745100068,0.4355061138292252,0.9379897470991472,42,extrapolation,ProfileAnchor-Seq,0.2,5440
0.9371323529411764,0.3481758706979619,0.7091068928942744,0.3456711752567097,0.911630967416884,42,extrapolation,ProfileAnchor-Seq,0.3,8160
0.9229779411764706,0.3104337908134515,0.7233564696734821,0.2942451974781957,0.89368140787128,42,extrapolation,ProfileAnchor-Seq,0.4,10880
0.9023529411764706,0.3091898686921513,0.7118782327809098,0.279481503465025,0.867224962675978,42,extrapolation,ProfileAnchor-Seq,0.5,13600
0.9705882352941176,0.3333333333333333,0.0,0.3283582089552239,0.9561018437225636,0,extrapolation,Random forest,0.01,272
0.9705882352941176,0.45,0.4449584264260357,0.4684628237259816,0.9569204874932428,0,extrapolation,Random forest,0.02,544
0.9681372549019608,0.4583333333333333,0.5235610329106899,0.4731743666169895,0.9535811343911632,0,extrapolation,Random forest,0.03,816
0.9720588235294118,0.3647058823529411,0.5155029806888386,0.3777815591803,0.9592844712574482,0,extrapolation,Random forest,0.05,1360
0.9742647058823528,0.3668831168831168,0.5099391195639201,0.4097728295096716,0.963119443121378,0,extrapolation,Random forest,0.08,2176
0.9654411764705882,0.3131868131868132,0.4549320216708129,0.344214186628076,0.950585978656355,0,extrapolation,Random forest,0.1,2720
0.955514705882353,0.3023006034369671,0.5632359696194749,0.3172655439082391,0.9368105770636952,0,extrapolation,Random forest,0.2,5440
0.9338235294117648,0.2532392123657521,0.5503717825416746,0.2481053083709221,0.9077503342162376,0,extrapolation,Random forest,0.3,8160
0.9167279411764706,0.2496294814615714,0.5577165383927962,0.235203440726732,0.8855634087913102,0,extrapolation,Random forest,0.4,10880
0.8934558823529412,0.2339552556137798,0.5981107661049426,0.2242825099152093,0.8556215881960155,0,extrapolation,Random forest,0.5,13600
0.9963235294117648,0.6666666666666666,0.9528873927507842,0.6507936507936508,0.9945728291316528,1,extrapolation,Random forest,0.01,272
0.9981617647058824,0.6666666666666666,0.97530286873635,0.6585365853658537,0.9972650645624104,1,extrapolation,Random forest,0.02,544
0.9950980392156864,0.6666666666666666,0.9373220863315632,0.6605640236991781,0.9926606231013858,1,extrapolation,Random forest,0.03,816
0.9875,0.49375,0.8305024865312746,0.4922256097560975,0.9816535150645624,1,extrapolation,Random forest,0.05,1360
