Accuracy,Balanced Accuracy,MCC,F1_macro,F1_weighted,seed,split,method,coverage,kept_rows,n_features,train_time
0.8940441176470588,0.3012864570006335,0.7334195551730109,0.2927386358026074,0.8574060496707023,4,extrapolation,integrated_logging_features_margin,0.5,13600,75,4.488506317138672
0.709375,0.2536130597836327,0.5144526780523998,0.239102024869751,0.6665647245615466,4,extrapolation,integrated_logging_features_full,1.0,27200,75,4.488506317138672
1.0,1.0,1.0,1.0,1.0,5,interpolation,integrated_logging_features_margin,0.01,80,75,4.467592716217041
0.99375,0.998015873015873,0.9828001522479088,0.9936848351275748,0.9938040391624988,5,interpolation,integrated_logging_features_margin,0.02,160,75,4.467592716217041
0.9958333333333332,0.9987244897959184,0.9870283324495848,0.994974648898461,0.995864554822692,5,interpolation,integrated_logging_features_margin,0.03,240,75,4.467592716217041
0.99,0.7994029850746268,0.9648953538233672,0.7960697977821265,0.9862820042400524,5,interpolation,integrated_logging_features_margin,0.05,400,75,4.467592716217041
0.9890625,0.7996428571428572,0.9513549250022486,0.7963459170013387,0.984408718206158,5,interpolation,integrated_logging_features_margin,0.08,640,75,4.467592716217041
0.99,0.7997159090909091,0.9538707864465058,0.7966706560765967,0.9856530845392232,5,interpolation,integrated_logging_features_margin,0.1,800,75,4.467592716217041
0.978125,0.7891634352061488,0.9043924784558618,0.7803443128651599,0.9694447424018324,5,interpolation,integrated_logging_features_margin,0.2,1600,75,4.467592716217041
0.955,0.7310854620296316,0.8275958297000955,0.6928944206071951,0.9419191021334457,5,interpolation,integrated_logging_features_margin,0.3,2400,75,4.467592716217041
0.93375,0.7398689845488359,0.7870819101960788,0.6101589033904246,0.9226230765446202,5,interpolation,integrated_logging_features_margin,0.4,3200,75,4.467592716217041
0.901,0.6280324886252907,0.734708659740974,0.6221364553679856,0.8949435020869542,5,interpolation,integrated_logging_features_margin,0.5,4000,75,4.467592716217041
0.734625,0.4553617969276403,0.5240896970816842,0.4475228918073249,0.7402090148502095,5,interpolation,integrated_logging_features_full,1.0,8000,75,4.467592716217041
1.0,1.0,1.0,1.0,1.0,5,extrapolation,integrated_logging_features_margin,0.01,272,75,4.467592716217041
0.9944852941176472,0.4,0.923430758420803,0.3994280266920877,0.9917358268378847,5,extrapolation,integrated_logging_features_margin,0.02,544,75,4.467592716217041
0.9950980392156864,0.4,0.9288080736824764,0.399492385786802,0.992653279585946,5,extrapolation,integrated_logging_features_margin,0.03,816,75,4.467592716217041
0.9889705882352942,0.4,0.8544321657830414,0.3988553987027852,0.9834874430504746,5,extrapolation,integrated_logging_features_margin,0.05,1360,75,4.467592716217041
0.9866727941176472,0.4,0.8532878060144324,0.3951130351130351,0.9800590817134934,5,extrapolation,integrated_logging_features_margin,0.08,2176,75,4.467592716217041
0.9856617647058824,0.4,0.8519125541089013,0.3958708490401442,0.978546175069532,5,extrapolation,integrated_logging_features_margin,0.1,2720,75,4.467592716217041
0.9707720588235296,0.3743345734464558,0.830757782144234,0.3741463852849465,0.9579542636292866,5,extrapolation,integrated_logging_features_margin,0.2,5440,75,4.467592716217041
0.9466911764705882,0.3373629339135324,0.7897959665083829,0.3393464386016166,0.9248267405901384,5,extrapolation,integrated_logging_features_margin,0.3,8160,75,4.467592716217041
0.923529411764706,0.3065935115485978,0.7593044366531903,0.3035007397765197,0.8948916329668226,5,extrapolation,integrated_logging_features_margin,0.4,10880,75,4.467592716217041
0.8891176470588236,0.298492778574831,0.7041855482088641,0.2933477090534798,0.8516795562044417,5,extrapolation,integrated_logging_features_margin,0.5,13600,75,4.467592716217041
0.6996323529411764,0.2473633280902901,0.4940116484745719,0.2322994655217509,0.653548418219293,5,extrapolation,integrated_logging_features_full,1.0,27200,75,4.467592716217041
1.0,1.0,1.0,1.0,1.0,6,interpolation,integrated_logging_features_margin,0.01,80,75,4.348410367965698
1.0,1.0,1.0,1.0,1.0,6,interpolation,integrated_logging_features_margin,0.02,160,75,4.348410367965698
1.0,1.0,1.0,1.0,1.0,6,interpolation,integrated_logging_features_margin,0.03,240,75,4.348410367965698
1.0,1.0,1.0,1.0,1.0,6,interpolation,integrated_logging_features_margin,0.05,400,75,4.348410367965698
0.9921875,0.6,0.9556937990770972,0.599137187230371,0.9882981018119068,6,interpolation,integrated_logging_features_margin,0.08,640,75,4.348410367965698
0.985,0.4285714285714285,0.9240361885319072,0.4265516364116486,0.9775568799170442,6,interpolation,integrated_logging_features_margin,0.1,800,75,4.348410367965698
0.956875,0.4282576866764275,0.8237636493142143,0.4195055089309707,0.9367778923045876,6,interpolation,integrated_logging_features_margin,0.2,1600,75,4.348410367965698
0.9433333333333334,0.3740817847740136,0.7998176523044088,0.3680506212687213,0.9185233467579356,6,interpolation,integrated_logging_features_margin,0.3,2400,75,4.348410367965698
0.90625,0.4012723811912264,0.7213528696014245,0.3625881125988167,0.8766620399467753,6,interpolation,integrated_logging_features_margin,0.4,3200,75,4.348410367965698
0.87325,0.4429779440664885,0.674594027980751,0.4017856734608952,0.844300043795024,6,interpolation,integrated_logging_features_margin,0.5,4000,75,4.348410367965698
0.694375,0.4021900662147925,0.450294003939832,0.3950219787433386,0.6986171355982411,6,interpolation,integrated_logging_features_full,1.0,8000,75,4.348410367965698
0.9926470588235294,0.75,0.9430937219448124,0.7490157480314961,0.9889850625289486,6,extrapolation,integrated_logging_features_margin,0.01,272,75,4.348410367965698
0.9871323529411764,0.75,0.8870899990410572,0.7482960077896786,0.9807423821524716,6,extrapolation,integrated_logging_features_margin,0.02,544,75,4.348410367965698
0.9877450980392156,0.7272727272727273,0.8927256802250164,0.7364718614718615,0.9822410024615909,6,extrapolation,integrated_logging_features_margin,0.03,816,75,4.348410367965698
0.9882352941176472,0.5866666666666667,0.8970761849991906,0.5918563711129626,0.9827445894905924,6,extrapolation,integrated_logging_features_margin,0.05,1360,75,4.348410367965698
0.9866727941176472,0.5789473684210527,0.8858775903922456,0.5864648341721512,0.9804883730253618,6,extrapolation,integrated_logging_features_margin,0.08,2176,75,4.348410367965698
0.9856617647058824,0.4099378881987577,0.8715863876758818,0.4098138382020872,0.9790725373417972,6,extrapolation,integrated_logging_features_margin,0.1,2720,75,4.348410367965698
0.9713235294117648,0.4291605041725904,0.8340625347349248,0.4250692053813405,0.9589424556566026,6,extrapolation,integrated_logging_features_margin,0.2,5440,75,4.348410367965698
0.9525735294117648,0.4231966826680979,0.8118778247735501,0.4023667175032993,0.9327657073792244,6,extrapolation,integrated_logging_features_margin,0.3,8160,75,4.348410367965698
0.921875,0.3343341646529829,0.7595172619671618,0.3101594395421658,0.8919538161020316,6,extrapolation,integrated_logging_features_margin,0.4,10880,75,4.348410367965698
0.8952941176470588,0.3206918986723161,0.7204521154013432,0.3014957851757802,0.8582252331896076,6,extrapolation,integrated_logging_features_margin,0.5,13600,75,4.348410367965698
0.7048161764705883,0.2568979235542614,0.5055380146378904,0.233110106614622,0.6573798681694685,6,extrapolation,integrated_logging_features_full,1.0,27200,75,4.348410367965698
1.0,1.0,0.0,1.0,1.0,7,interpolation,integrated_logging_features_margin,0.01,80,75,4.26113486289978
