Accuracy,Balanced Accuracy,MCC,F1_macro,F1_weighted,seed,split,method,coverage,kept_rows,window,epochs,hidden,synthetic_rows,train_time
0.845343137254902,0.2988764130095346,0.6868774503228279,0.22162166290551277,0.8104710125837179,2,extrapolation,mscgan_mscnn_margin,0.3,8160,31,8,96,3146,2.0038349628448486
0.8125919117647059,0.2980612554814552,0.6390920009729972,0.21481759841932335,0.774997009639068,2,extrapolation,mscgan_mscnn_margin,0.4,10880,31,8,96,3146,2.0038349628448486
0.7830147058823529,0.3005037498600386,0.6036371346256972,0.21467877572301805,0.745493153790998,2,extrapolation,mscgan_mscnn_margin,0.5,13600,31,8,96,3146,2.0038349628448486
0.633235294117647,0.29459981945780417,0.4393244578930832,0.20281697539230836,0.6229679997346143,2,extrapolation,mscgan_mscnn_full,1.0,27200,31,8,96,3146,2.0038349628448486
0.775,0.4074858757062147,0.5287304331346716,0.30013663868826856,0.7796261955885224,3,interpolation,mscgan_mscnn_margin,0.01,80,31,8,96,3021,1.9431116580963135
0.8125,0.5652328992846235,0.6778416594178968,0.5520344187831873,0.829834703473866,3,interpolation,mscgan_mscnn_margin,0.02,160,31,8,96,3021,1.9431116580963135
0.8666666666666667,0.5874166908384094,0.772853579858656,0.5656346749226006,0.8796689026487787,3,interpolation,mscgan_mscnn_margin,0.03,240,31,8,96,3021,1.9431116580963135
0.875,0.5758738315390176,0.7834402068853504,0.46133917952591347,0.8824171392324329,3,interpolation,mscgan_mscnn_margin,0.05,400,31,8,96,3021,1.9431116580963135
0.8921875,0.6320685646053293,0.7988280646342923,0.4942787249588432,0.8997041223477933,3,interpolation,mscgan_mscnn_margin,0.08,640,31,8,96,3021,1.9431116580963135
0.89,0.6840471790810565,0.7855993732325878,0.5077866796621474,0.8967632516032643,3,interpolation,mscgan_mscnn_margin,0.1,800,31,8,96,3021,1.9431116580963135
0.85,0.6074677574685554,0.6955076536514981,0.48517651155831487,0.8599120477699722,3,interpolation,mscgan_mscnn_margin,0.2,1600,31,8,96,3021,1.9431116580963135
0.8225,0.5872940858744011,0.6475076823243215,0.48886258274705996,0.8353150229961817,3,interpolation,mscgan_mscnn_margin,0.3,2400,31,8,96,3021,1.9431116580963135
0.764375,0.6046480446450324,0.5686830473372687,0.5047633636318319,0.7858290593479209,3,interpolation,mscgan_mscnn_margin,0.4,3200,31,8,96,3021,1.9431116580963135
0.717,0.5907326079324344,0.5189987337957961,0.4779973886148197,0.7450255263022708,3,interpolation,mscgan_mscnn_margin,0.5,4000,31,8,96,3021,1.9431116580963135
0.586,0.4861281145724631,0.37777190714379183,0.3784059573961511,0.6163765185387459,3,interpolation,mscgan_mscnn_full,1.0,8000,31,8,96,3021,1.9431116580963135
0.6323529411764706,0.27401837928153716,0.44655240831757237,0.22667110322389825,0.6234786033978809,3,extrapolation,mscgan_mscnn_margin,0.01,272,31,8,96,3021,1.9431116580963135
0.6709558823529411,0.4203972257250946,0.46366438708090624,0.2850323150446913,0.6613351900598916,3,extrapolation,mscgan_mscnn_margin,0.02,544,31,8,96,3021,1.9431116580963135
0.6948529411764706,0.4162335267598426,0.5209168868453177,0.29976462112587066,0.661484302039389,3,extrapolation,mscgan_mscnn_margin,0.03,816,31,8,96,3021,1.9431116580963135
0.7529411764705882,0.48343995510662174,0.6244522638722714,0.3494893722510098,0.7184924915275438,3,extrapolation,mscgan_mscnn_margin,0.05,1360,31,8,96,3021,1.9431116580963135
0.8042279411764706,0.4987113130253927,0.6937398404787436,0.3598320864039123,0.7754904411148908,3,extrapolation,mscgan_mscnn_margin,0.08,2176,31,8,96,3021,1.9431116580963135
0.8091911764705882,0.4976300091655883,0.6923998258695793,0.35574468617967375,0.7776552507632033,3,extrapolation,mscgan_mscnn_margin,0.1,2720,31,8,96,3021,1.9431116580963135
0.8143382352941176,0.40424771877706794,0.6930865300996267,0.3174725316162605,0.7763162090078479,3,extrapolation,mscgan_mscnn_margin,0.2,5440,31,8,96,3021,1.9431116580963135
0.8028186274509804,0.3921255753004029,0.6823865494558385,0.29903419163232187,0.7603037173671041,3,extrapolation,mscgan_mscnn_margin,0.3,8160,31,8,96,3021,1.9431116580963135
0.7976102941176471,0.37722890785748425,0.6712513689613827,0.28668953638933864,0.7576888913690055,3,extrapolation,mscgan_mscnn_margin,0.4,10880,31,8,96,3021,1.9431116580963135
0.79,0.37037083318535086,0.6553434729844231,0.27684824416118586,0.7543898580257726,3,extrapolation,mscgan_mscnn_margin,0.5,13600,31,8,96,3021,1.9431116580963135
0.6566176470588235,0.32378721707118513,0.48981936761081335,0.22713609612168714,0.6475025448384637,3,extrapolation,mscgan_mscnn_full,1.0,27200,31,8,96,3021,1.9431116580963135
0.8625,0.5627705627705628,0.7696191340469051,0.41131574581051933,0.8919425087108014,4,interpolation,mscgan_mscnn_margin,0.01,80,31,8,96,3352,2.1134910583496094
0.85625,0.4603638726445744,0.7505565899482748,0.3557919621749409,0.8872340425531915,4,interpolation,mscgan_mscnn_margin,0.02,160,31,8,96,3352,2.1134910583496094
0.8541666666666666,0.4596489789223324,0.7493056404948593,0.35468229682296826,0.8857727327273272,4,interpolation,mscgan_mscnn_margin,0.03,240,31,8,96,3352,2.1134910583496094
0.8675,0.4610447495097165,0.7643304659007059,0.3557919621749409,0.8978427895981088,4,interpolation,mscgan_mscnn_margin,0.05,400,31,8,96,3352,2.1134910583496094
0.7828125,0.5089038619235078,0.6417958524662172,0.39894222271321256,0.8465742722602739,4,interpolation,mscgan_mscnn_margin,0.08,640,31,8,96,3352,2.1134910583496094
0.75125,0.5214769544181309,0.5984486002907864,0.39173887382666184,0.8180826830522713,4,interpolation,mscgan_mscnn_margin,0.1,800,31,8,96,3352,2.1134910583496094
0.66875,0.5576993860000015,0.4994383475650067,0.3840344008224105,0.7324333007213198,4,interpolation,mscgan_mscnn_margin,0.2,1600,31,8,96,3352,2.1134910583496094
